"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>"
"warpoints/short";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻";"▻"
"warpoints/short/colored";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>";"<color=@currencyWpColor>▻</color>"
"gold/short";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽";"▽"
"gold/short/colored";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>";"<color=@currencyGoldColor>▽</color>"
"experience/short";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉"
"currency/researchPoints/sign";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉"
"currency/researchPoints/sign/colored";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>";"<color=@currencyRpColor>▉</color>"
"currency/freeResearchPoints/sign";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉";"▉"
"currency/freeResearchPoints/sign/colored";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>";"<color=@currencyFreeRpColor>▉</color>"
"currency/skillPoints/sign";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆";"▆"
"currency/skillPoints/sign/colored";"<color=@white>▆</color>";"<color=@white>▆</color>";"<color=@white>▆</color>";"<color=@white>▆</color>";"<color=@white>▆</color>";"<color=@white>▆</color>";"<color=@white>▆</color>";"<color=@white>▆</color>";"<color=@white>▆</color>";"<color=@white>▆</color>";"<color=@white>▆</color>";"<color=@white>▆</color>";"<color=@white>▆</color>"
"currency/warbond";"<color=#dcc868>▼</color>";"<color=#dcc868>▼</color>";"<color=#dcc868>▼</color>";"<color=#dcc868>▼</color>";"<color=#dcc868>▼</color>";"<color=#dcc868>▼</color>";"<color=#dcc868>▼</color>";"<color=#dcc868>▼</color>";"<color=#dcc868>▼</color>";"<color=#dcc868>▼</color>";"<color=#dcc868>▼</color>";"<color=#dcc868>▼</color>";"<color=#dcc868>▼</color>"
"currency/warbond/blue";"<color=#699dcd>▼</color>";"<color=#699dcd>▼</color>";"<color=#699dcd>▼</color>";"<color=#699dcd>▼</color>";"<color=#699dcd>▼</color>";"<color=#699dcd>▼</color>";"<color=#699dcd>▼</color>";"<color=#699dcd>▼</color>";"<color=#699dcd>▼</color>";"<color=#699dcd>▼</color>";"<color=#699dcd>▼</color>";"<color=#699dcd>▼</color>";"<color=#699dcd>▼</color>"
"currency/warbond/red";"<color=#cc6145>▼</color>";"<color=#cc6145>▼</color>";"<color=#cc6145>▼</color>";"<color=#cc6145>▼</color>";"<color=#cc6145>▼</color>";"<color=#cc6145>▼</color>";"<color=#cc6145>▼</color>";"<color=#cc6145>▼</color>";"<color=#cc6145>▼</color>";"<color=#cc6145>▼</color>";"<color=#cc6145>▼</color>";"<color=#cc6145>▼</color>";"<color=#cc6145>▼</color>"
"currency/warbond/green";"<color=#88bc56>▼</color>";"<color=#88bc56>▼</color>";"<color=#88bc56>▼</color>";"<color=#88bc56>▼</color>";"<color=#88bc56>▼</color>";"<color=#88bc56>▼</color>";"<color=#88bc56>▼</color>";"<color=#88bc56>▼</color>";"<color=#88bc56>▼</color>";"<color=#88bc56>▼</color>";"<color=#88bc56>▼</color>";"<color=#88bc56>▼</color>";"<color=#88bc56>▼</color>"
"currency/chinese_yuan";"{amount}元";"{amount}元";"{amount}元";"{amount}元";"{amount}元";"{amount}元";"{amount}元";"{amount}元";"{amount}元";"{amount}元";"{amount}元";"{amount}元";"{amount}元"
"currency/gc/sign";"⋬";"⋬";"⋬";"⋬";"⋬";"⋬";"⋬";"⋬";"⋬";"⋬";"⋬";"⋬";"⋬"
"currency/gc/sign/colored";"<color=@currencyGCColor>⋬</color>";"<color=@currencyGCColor>⋬</color>";"<color=@currencyGCColor>⋬</color>";"<color=@currencyGCColor>⋬</color>";"<color=@currencyGCColor>⋬</color>";"<color=@currencyGCColor>⋬</color>";"<color=@currencyGCColor>⋬</color>";"<color=@currencyGCColor>⋬</color>";"<color=@currencyGCColor>⋬</color>";"<color=@currencyGCColor>⋬</color>";"<color=@currencyGCColor>⋬</color>";"<color=@currencyGCColor>⋬</color>";"<color=@currencyGCColor>⋬</color>"
"currency/squadronActivity";"┉";"┉";"┉";"┉";"┉";"┉";"┉";"┉";"┉";"┉";"┉";"┉";"┉"
"currency/squadronActivity/colored";"<color=@currencySapColor>┉</color>";"<color=@currencySapColor>┉</color>";"<color=@currencySapColor>┉</color>";"<color=@currencySapColor>┉</color>";"<color=@currencySapColor>┉</color>";"<color=@currencySapColor>┉</color>";"<color=@currencySapColor>┉</color>";"<color=@currencySapColor>┉</color>";"<color=@currencySapColor>┉</color>";"<color=@currencySapColor>┉</color>";"<color=@currencySapColor>┉</color>";"<color=@currencySapColor>┉</color>";"<color=@currencySapColor>┉</color>"
"priceText/aed";"Dhs{price}";"Dhs{price}";"Dhs{price}";"Dhs{price}";"Dhs{price}";"Dhs{price}";"Dhs{price}";"Dhs{price}";"Dhs{price}";"Dhs{price}";"Dhs{price}";"Dhs{price}";"Dhs{price}"
"priceText/ars";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}"
"priceText/aud";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}"
"priceText/brl";"R${price}";"R${price}";"R${price}";"R${price}";"R${price}";"R${price}";"R${price}";"R${price}";"R${price}";"R${price}";"R${price}";"R${price}";"R${price}"
