"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"pl1/check_profile";"Checking the data...";"Vérification des données...";"Caricamento dati.";"Überprüfe Daten...";"Comprobación de los datos...";"Проверка данных...";"Перевірка даних...";"Sprawdzanie danych...";"Verificando dados...";"Veriler kontrol ediliyor...";"데이터 확인 중...";"正\t在\t检\t查\t数\t据\t…";"データを\tロード\t中…";"正\t在\t檢\t查\t資\t料...";;
"pl1/save_profile";"Saving the data...";"Sauvegarde des données...";"Salvataggio dei dati...";"Speichere Daten...";"Guardando los datos...";"Сохранение данных...";"Збереження даних...";"Zapisywanie danych...";"Salvando dados...";"Veri kaydediliyor...";"데이터 저장 중...";"正\t在\t保\t存\t数\t据\t…";"データを\t保存中…";"正\t在\t保\t存\t資\t料...";;
"pl1/check_network";"Checking the network...";"Vérification du réseau...";"Controllo della connessione...";"Überprüfe Netzwerk...";"Comprobando la red...";"Проверка coeдинения...";"Перевірка з'єднання...";"Sprawdzanie sieci...";"Verificando conexão...";"İletişim ağı denetleniyor...";"네트워크 확인 중...";"正\t在\t检\t查\t网\t络\t…";"ネットワークを\t確認中です…";"正\t在\t檢\t查\t網\t路...";;
"yn1/connecting_msg";"Connecting to the server...";"Connexion au serveur...";"Connessione al server...";"Verbindung wird hergestellt...";"Conectando con el servidor...";"Подключение к серверу...";"Підключення до сервера...";"Łączenie z serwerem...";"Conectando ao servidor...";"Sunucuya bağlanıyor...";"서버에 연결 중...";"正\t在\t连\t接\t服\t务\t器\t…";"サーバーに\t接続中...";"正\t在\t連\t接\t伺\t服\t器...";;
"yn1/online_restricted_msg";"Online service is disabled on your account due to parental control restrictions";"Service en ligne invalide sur votre compte, dû à des restrictions de contrôle parental";"Il servizio online sul tuo account è stato disattivato a causa delle restrizioni del filtro famiglia";"Der Online-Service ist auf deinem Konto aufgrund von Kindersicherungseinstellungen deaktiviert";"El servicio online de tu cuenta ha sido desactivado debido restricciones de control paterno";"Для вашей учётной записи интернет-сервисы заблокированы при помощи средств родительского контроля.";"Для вашого облікового запису інтернет-сервіси заблоковані за допомогою засобів батьківського контролю.";"Usługi sieciowe są na twoim koncie nieaktywne z powodu ograniczeń nałożonych przez kontrolę rodzicielską";"Serviço on-line está desativado na sua conta devido a restrições de controle";"Ebeveyn kontrolü kısıtlamaları nedeniyle hesabındaki online hizmet devre dışı bırakıldı";"보호자 제어 제한으로 인해 귀하의 계정은 온라인 서비스를 사용할 수 없습니다.";"账\t户\t的\t在\t线\t服\t务\t被\t禁\t用。\t原\t因：\t家\t长\t控\t制。";"ペアレンタル・コントロール\t制限があるため、\t
お\t客様の\tアカウントでは\t弊社\tオンラインサービスがご\t使用いただけません。";"帳\t戶\t的\t在\t線\t服\t務\t被\t禁\t用。\t原\t因：\t家\t長\t控\t制。";;
"yn1/chat_restricted_msg";"Chat is disabled on your account due to chat restrictions";"Chat invalide sur votre compte dû à des restrictions de chat";"La chat sul tuo account è stata disattivata a causa delle restrizioni alla chat";"Die Chatfunktion ist auf deinem Konto aufgrund von Chat-Einschränkungen deaktiviert";"La función de chat de tu cuenta ha sido desactivada debido a restricciones de chat";"Для вашей учётной записи чат заблокирован.";"Для вашого облікового запису чат заблокований.";"Czat na twoim koncie jest nieaktywny z powodu ograniczeń czatu";"O chat está desativado na sua conta devido a restrições de chat";"Sohbet kısıtlamaları nedeniyle hesabında sohbet devre dışı bırakıldı";"대화 제한으로 인해 귀하의 계정은 대화가 불가능합니다.";"账\t户\t的\t聊\t天\t功\t能\t被\t禁\t用。\t原\t因：\t聊\t天\t限\t制。";"チャット\t規制のためこの\tアカウントでは\tチャットは\t使用できません";"帳\t戶\t的\t聊\t天\t功\t能\t被\t禁\t用。\t原\t因：\t聊\t天\t限\t制。";;
"yn1/disconnection";"You have been signed out of the server. Returning to the Main Menu.";"Vous avez été déconnecté du serveur. Retour au menu principal.";"Sei stato espulso dal server. Ritorno al menù principale";"Du wurdest vom Server abgemeldet. Rückkehr zum Hauptmenü.";"Usted ha salido de la sesión del servidor. Regresando al Menú Principal.";"Вы отключились от сервера. Возврат в главное меню...";"Ви від'єднались від сервера. Повернення в головне меню...";"Wylogowano cię z serwera. Powrót do menu głównego.";"Você foi desconectado do servidor. Retornando ao menu principal.";"Sunucudan çıkarıldın. Ana Menü'ye dönülüyor.";"서버에서 로그아웃 되었습니다. 주 메뉴로 돌아갑니다.";"已\t从\t服\t务\t器\t注\t销。\t正\t在\t返\t回\t主\t菜\t单。";"サーバーから\tサインアウトしました。\tメインメニューに\t戻ります。";"已\t從\t伺\t服\t器\t退\t出。\t正\t在\t返\t回\t主\t菜\t單。";;
"yn1/error/80022B04";"New update is available. Please update the game via the launcher.";"Nouvelle mise à jour disponible. Veuillez mettre à jour le jeu à partir de l'interface de lancement.";"È disponibile un nuovo aggiornamento. Aggiorna il gioco tramite il launcher.";"Neues Update verfügbar. Bitte das Spiel über den Launcher aktualisieren.";"Hay disponible una nueva actualización. Actualiza el juego mediante el iniciador.";"Доступно обновление. Используйте программу запуска для его загрузки.";"Доступне оновлення. Використовуйте програму запуску для його завантаження.";"Dostępna jest nowa aktualizacja. Zaktualizuj grę za pomocą programu startowego.";"Nova atualização está disponível. Por favor, atualize o jogo através do launcher.";"Yeni güncelleme mevcut. Lütfen başlatıcı aracılığıyla oyunu güncelle.";"새로운 업데이트가 나왔습니다. 런처를 통해 게임을 업데이트 하십시오.";"有\t更\t新\t可\t用。\t请\t通\t过\t启\t动\t器\t更\t新\t游\t戏。";"最新版があります。\tランチャーで\tゲームを\t更新して\t下さい。";"有\t更\t新\t可\t用。\t請\t通\t過\t啟\t動\t器\t更\t新\t遊\t戲。";;
"yn1/error/80022B34";"New update is available. Please update the game via the launcher.";"Nouvelle mise à jour disponible. Veuillez mettre à jour le jeu à partir de l'interface de lancement.";"È disponibile un nuovo aggiornamento. Aggiorna il gioco tramite il launcher.";"Neues Update verfügbar. Bitte das Spiel über den Launcher aktualisieren.";"Hay disponible una nueva actualización. Actualiza el juego mediante el iniciador.";"Доступно обновление. Используйте программу запуска для его загрузки.";"Доступне оновлення. Використовуйте програму запуску для його завантаження.";"Utworzenie gry nie powiodło się";"Nova atualização está disponível. Por favor, atualize o jogo através do launcher.";"Yeni güncelleme mevcut. Lütfen başlatıcı aracılığıyla oyunu güncelle.";"새로운 업데이트가 나왔습니다. 런처를 통해 게임을 업데이트 하십시오.";"有\t更\t新\t可\t用。\t请\t通\t过\t启\t动\t器\t更\t新\t游\t戏。";"最新版があります。\tランチャーで\tゲームを\t更新して\t下さい。";"有\t更\t新\t可\t用。\t請\t通\t過\t啟\t動\t器\t更\t新\t遊\t戲。";;
"yn1/error/80022B35";"New update is available. Please update the game via the launcher.";"Nouvelle mise à jour disponible. Veuillez mettre à jour le jeu à partir de l'interface de lancement.";"È disponibile un nuovo aggiornamento. Aggiorna il gioco tramite il launcher.";"Neues Update verfügbar. Bitte das Spiel über den Launcher aktualisieren.";"Hay disponible una nueva actualización. Actualiza el juego mediante el iniciador.";"Доступно обновление. Используйте программу запуска для его загрузки.";"Доступне оновлення. Використовуйте програму запуску для його завантаження.";"Dostępna jest nowa aktualizacja. Zaktualizuj grę za pomocą programu startowego.";"Nova atualização está disponível. Por favor, atualize o jogo através do launcher.";"Yeni güncelleme mevcut. Lütfen başlatıcı aracılığıyla oyunu güncelle.";"새로운 업데이트가 나왔습니다. 런처를 통해 게임을 업데이트 하십시오.";"有\t更\t新\t可\t用。\t请\t通\t过\t启\t动\t器\t更\t新\t游\t戏。";"最新版があります。\tランチャーで\tゲームを\t更新して\t下さい。";"有\t更\t新\t可\t用。\t請\t通\t過\t啟\t動\t器\t更\t新\t遊\t戲。";;
